"publ_id","publ_titulo","publ_ano","publ_doi","publ_numero","publ_volumen","publ_paginainicio","publ_paginafinal","publ_issn"
8677,"3,4-dimethylpyrazole phosphate (DMPP) Reduces N2O Emissions from a Tilled Grassland in the Bogotá Savanna","2019","10.3390/agronomy9020102","2","9","102",NULL,"['2073-4395']"
8678,"3D Numerical Analysis of the Natural Ventilation Behavior in a Colombian Greenhouse Established in Warm Climate Conditions","2020","10.3390/su12198101","19","12","8101",NULL,"['2071-1050']"
10028,"Abonos verdes de leguminosas: integración en sistemas agrícolas y ganaderas del trópico","2018","10.15517/ma.v29i3.31612","3","29","711","711","['2215-3608']"
10216,"Acceptance of C015 Eggplant (Solanum melongena L.) Variety in the Colombian Caribbean Region","2020","10.19053/01228420.v17.n3.2020.11062","3","17","1","10","0122-8420"
8712,"Accumulation dynamics and physicochemical variability of starch in cultivars of Canna edulis Ker","2020","10.1590/1983-40632020v5058827",NULL,"50","1","1","['1983-4063', '1517-6398']"
8713,"Accumulation of degree days and their effect on the potential yield of 15 eggplant (Solanum melongena L.) accessions in the Colombian Caribbean","2019","10.15446/rfnam.v72n3.77112","3","72","8917","8926","['2248-7026', '0304-2847']"
10215,"Acerola (Malpighia emarginata DC): Fruta promisoria con posibilidades de cultivo en Colombia. Una revision.","2020",NULL,"2","24","7","22","0188-7890"
8714,"Acibenzolar-S-methyl induces protection against the vascular wilt pathogen Fusarium oxysporum in cape gooseberry (Physalis peruviana L.)","2021","10.1007/s41348-021-00427-0","2","128","449","456","['1861-3829', '1861-3837']"
8679,"A circular economy approach for producing a fungal-based biopesticide employing pearl millet as a substrate and its economic evaluation","2021","10.1016/j.biteb.2021.100869",NULL,"16","100869",NULL,"['2589-014X']"
8681,"A c-Myc regulatory subnetwork from human transposable element sequences","2009","10.1039/b908494k","12","5","1831","1831","['1742-206X', '1742-2051']"
9877,"Acompañamiento agropecuario para sustituir la coca en La Montañita y Puerto Rico, Caquetá, Colombia 2018-2019","2021","10.14483/2422278x.17068","1","14","70","84","['2422-278X', '2011-5253']"
8682,"A comparative analysis of SLA-DRB1 genetic diversity in Colombian (creoles and commercial line) and worldwide swine populations","2021","10.1038/s41598-021-83637-8","1","11",NULL,NULL,"['2045-2322']"
9909,"Actividad biológica de hongos entomopatógenos sobre Premnotrypes vorax Hustache (Coleoptera: Curculionidae)","2016","10.22267/rcia.163301.4","1","33","34","34","['2256-2273', '0120-0135']"
10057,"ACTIVIDAD INSECTICIDA Y PERSISTENCIA DE UN FORMULADO A BASE DE Beauveria bassiana PARA EL CONTROL DE Diatraea saccharalis","2021","10.29393/chjaas37-27aijl50027","3","37","257","269","['0719-3890']"
9876,"Adaptación de diez cultivares de Lolium sp. en el trópico alto de Nariño, Colombia","2019","10.15517/am.v30i1.34094",NULL,"30","165","178","['2215-3608']"
9875,"Adaptación de mezclas forrajeras a diferentes niveles de enmienda y riego en Nariño, Colombia","2021","10.15517/am.v32i2.41265",NULL,"32","538","555","['2215-3608', '1021-7444']"
9548,"Adaptation of grasses associated with Lotus uliginosus Schkuhr in the high Colombian tropic","2019",NULL,"1","42","13","22",NULL
8715,"Adaptation of new technologies for operation of a demonstrative module for tilapia culture in La Libertad","2016","10.17268/sci.agropecu.2016.03.21",NULL,"7","321","331","['2077-9917', '2306-6741']"
8711,"Additive and nonadditive genetic variability for growth traits in the Turipaná Romosinuano-Zebu multibreed herd.","1998","10.2527/1998.7661539x","6","76","1539","1539","['0021-8812']"
9542,"A decision-making support system to select forages according to environmental conditions in Colombia","2013",NULL,"2","14","215","229",NULL
8717,"Adequate vegetative cover decreases nitrous oxide emissions from cattle urine deposited in grazed pastures under rainy season conditions","2019","10.1038/s41598-018-37453-2","1","9",NULL,NULL,"['2045-2322']"
4894,"Adición de proteínas del plasma seminal ovino durante la congelación del espermatozoide y efectos sobre su motilidad y viabilidad","2009",NULL,"1",NULL,"51","59",NULL
9549,"Adjusting the conditions of a system for the in vivo production of a nucleopolyhedrovirus of Spodoptera frugiperda (Lepidoptera: Noctuidae)","2015",NULL,"4","32","4311","4316","8644551"
10330,"Adjustment and Scale-Up Strategy of Pilot Liquid Fermentation Process of Azotobacter sp.","2017","org/10.5281/zenodo.1130353","4","11","322","330","9195-0263"
10376,"Adopción de servicios tecnológicos en el sector agropecuario colombiano. Criterios de decisión y comportamiento del consumidor","2021","10.5377/recoso.v3i6.13525","6","2","93","104","2707-1138"
10327,"Adoption of the variety of eggplant C015 (Solanum melongena L.) in the Colombian Caribbean Region","2020","10.19053/01228420.v17.n2.2020.11062","3","17",NULL,NULL,"0122-8420"
8683,"A Drosophila female pheromone elicits species-specific long-range attraction via an olfactory channel with dual specificity for sex and food","2017","10.1186/s12915-017-0427-x","1","15",NULL,NULL,"['1741-7007']"
9550,"Adsorption isotherms of flours from pre-cooked clones of Criolla potato (Solanum tuberosum Group Phureja) South American tuber","2016",NULL,"6","23","2504","2512","19854668"
8684,"A Dual Strategy of Breeding for Drought Tolerance and Introducing Drought-Tolerant, Underutilized Crops into Production Systems to Enhance Their Resilience to Water Deficiency","2020","10.3390/plants9101263","10","9","1263","1","['2223-7747']"
10284,"Advances and challenges in the  actions of the Ministry of Environment and Sustainable Development to control deforestation in the Colombian Amazon","2019","10.18800/espacioydesarrollo.201901.005",NULL,"33","91","116","1016-9148"
10282,"Advances for the linking of remote sensing technology with UAV (Unmanned Aerial Vehicle) for the health monitoring of oil palm plantations","2020",NULL,"1","11","5","10","2346-1055"
8718,"Advances in Genome Editing With CRISPR Systems and Transformation Technologies for Plant DNA Manipulation","2021","10.3389/fpls.2020.637159",NULL,"11",NULL,NULL,"['1664-462X']"
8719,"Advances in Gut Microbiome Research, Opening New Strategies to Cope with a Western Lifestyle","2017","10.3389/fgene.2016.00224",NULL,"7",NULL,NULL,"['1664-8021']"
8720,"Advances in improving tolerance to waterlogging in Brachiaria grasses","2013","10.17138/tgft(1)197-201","2","1","197","197","['2346-3775']"
10341,"Advances in the characterization of milk production and growth before  the weaning in the germplasm bank of the creole breed Har tón del  Valle in C.I Palmira (CORPOICA)","2017",NULL,"6","3","38","44","2462-8050"
9551,"Advantages of incorporating new varieties in the cultivation of cotton in the Sinu Valley","2018",NULL,"2","23","188","199",NULL
8680,"A Framework for the Selection of Plant Growth-Promoting Rhizobacteria Based on Bacterial Competence Mechanisms","2020","10.1128/aem.00760-20","14","86",NULL,NULL,"['0099-2240', '1098-5336']"
9516,"Age and weight at puberty and their relation with reproductive efficiency of cattle breeds in the Colombian tropics","2006",NULL,"10","18",NULL,NULL,"1213784"
8685,"A global synthesis of the effects of diversified farming systems on arthropod diversity within fields and across agricultural landscapes","2017","10.1111/gcb.13714","11","23","4946","4957","['1354-1013', '1365-2486']"
8686,"A global synthesis reveals biodiversity-mediated benefits for crop production","2019","10.1126/sciadv.aax0121","10","5",NULL,NULL,"['2375-2548']"
9521,"Agribusiness production process of panela","2013",NULL,"35","17","47","54",NULL
9546,"AGRICULTURAL MODERNIZATION POLICIES AND RURAL DEVELOPMENT IN COLOMBIA (1996-2008)","2016",NULL,"25",NULL,"99","118",NULL
